X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y1,Y2,Y3,Y4,Y5
0,0,77,906,5,922.5,869.6,763,646.7,517.7,6.95,15.4,140.9252669,253.024911,18
2,0,77,906,5,922.6,869.6,763,646.7,517.7,6.95,15.4,140.9252669,253.024911,18
4,0,77,906,5,922.6,869.6,763,646.7,517.7,6.97,15.4,141.1261582,253.3856023,18
6,0,77,906,5,922.3,869.6,763,646.7,517.7,7.01,15.4,141.529664,255.1822731,18
8,0,77,906,5,921.8,871.1,765.5,646.7,517.7,7.11,15.4,140.3887689,257.0194384,18
10,0,77,906,5,921.9,871.1,765.5,646.6,517.7,7.35,15.4,136.2637363,261.5384615,18
12,0,77,906,5,922.2,871.1,765.5,646.6,516.9,7.35,15.3,131.8681319,261.5384615,19
14,0,77,906,5,922.1,869,765.3,646.6,516.9,7.27,15.3,127.822287,260.0145666,19
16,0,77,906,5,921.8,869,765.3,646.5,516.9,6.93,15.3,120.4690832,253.7313433,19
18,0,77,906,5,921.2,869,765.3,646.5,518.1,6.85,15.3,119.7879859,251.2367491,19
20,0,77,906,5,920.9,871.6,765.3,646.5,518.1,6.98,15.3,124.1084165,253.5663338,19
22,0,77,906,5,920.6,871.6,765.3,646.5,518.1,7.14,15.3,129.8701299,256.4935065,19
24,0,77,906,5,920.8,871.6,765.3,646.5,518.8,7.19,15.3,132.512672,257.4221579,19
26,0,77,906,5,920.7,876.1,765.3,646.5,518.8,7.19,15.3,134.6850109,257.4221579,18
28,0,77,906,5,920.8,876.1,766.4,646.7,518.8,7.14,15.3,133.1168831,257.5757576,19
30,0,77,906,5,920.7,876.1,766.4,646.7,519,7.2,15.3,131.5217391,258.6956522,19
32,0,77,906,5,920.8,874.1,766.4,646.7,519,7.24,15.3,129.7238372,259.4476744,19
34,0,77,906,5,920.8,874.1,764.4,646.7,519,7.27,15.3,126.7297888,260.0145666,19
36,0,77,906,5,920.7,874.1,764.4,646.6,519.1,7.16,15.3,121.3872832,259.0317919,19
38,0,77,906,5,920.5,876.2,764.4,646.6,519.1,6.92,15.3,113.9914773,254.6164773,19
40,0,77,906,5,920.2,876.2,764.6,646.6,519.1,6.9,15.3,112.7659574,254.2553191,19
42,0,77,906,5,920.4,876.2,764.6,647.5,519.1,6.95,15.3,113.1672598,255.1601423,19
44,0,77,906,5,920.7,870,764.6,647.5,519.1,7.01,15.3,116.8691923,256.2544675,19
