recordTime,WS10_10mAVG,WS30_10mAVG,WS50_10mAVG,WS95A_10mAVG,WS95B_10mAVG,WD10_10mAVG,WD30_10mAVG,WD50_10mAVG,WD95_10mAVG
2021/08/01 00:10:00,6.50,6.93,7.19,8.16,6.64,122.4,127.7,131.2,138.7
2021/08/01 00:20:00,6.21,6.56,6.80,7.81,6.38,121.8,127.8,130.6,137.9
2021/08/01 00:30:00,6.20,6.63,6.83,7.99,7.15,128.2,135.6,139.1,143.5
2021/08/01 00:40:00,7.73,8.00,8.10,8.71,8.76,179.3,184.3,184.1,184.2
2021/08/01 00:50:00,6.12,6.51,6.81,7.67,7.78,147.1,153.1,155.2,157.6
2021/08/01 01:00:00,5.56,5.83,5.98,6.62,6.72,151.9,158.0,160.1,164.1
2021/08/01 01:10:00,5.83,6.17,6.34,7.09,7.18,148.4,154.8,156.5,160.5
2021/08/01 01:20:00,6.25,6.67,6.87,7.67,7.75,138.0,145.5,149.4,156.5
2021/08/01 01:30:00,5.68,6.11,6.18,7.23,6.73,132.2,137.3,141.0,146.1
2021/08/01 01:40:00,5.23,5.66,5.73,6.35,5.27,123.7,129.9,133.1,139.0
2021/08/01 01:50:00,5.50,5.89,5.98,6.68,6.23,115.4,121.2,126.1,131.1
2021/08/01 02:00:00,5.88,6.23,6.42,7.39,6.71,131.3,136.8,139.0,138.9
2021/08/01 02:10:00,7.06,7.68,8.09,9.43,8.44,137.0,142.6,144.3,146.3
2021/08/01 02:20:00,7.53,8.17,8.52,8.83,8.76,145.6,152.0,153.8,158.3
2021/08/01 02:30:00,6.69,7.35,7.62,8.79,7.39,131.2,137.8,140.1,141.6
2021/08/01 02:40:00,7.47,8.02,8.35,9.28,8.25,135.3,141.2,142.5,144.4
2021/08/01 02:50:00,8.27,8.89,9.20,10.51,8.69,131.0,136.9,138.6,140.3
2021/08/01 03:00:00,8.36,9.10,9.56,10.85,8.75,134.0,139.8,140.7,140.1
2021/08/01 03:10:00,7.55,8.23,8.48,9.67,7.86,134.8,140.1,141.5,140.2
2021/08/01 03:20:00,8.10,8.89,9.17,9.67,8.22,132.9,138.8,140.6,141.2
2021/08/01 03:30:00,6.75,7.39,7.59,8.41,8.28,119.9,126.3,129.1,130.5
2021/08/01 03:40:00,6.99,7.52,7.58,8.35,7.72,122.6,128.4,131.6,133.6
2021/08/01 03:50:00,7.48,8.20,8.30,8.92,7.28,134.9,139.8,140.2,139.5
2021/08/01 04:00:00,7.26,7.89,8.07,8.89,8.25,131.3,137.4,139.7,141.4
2021/08/01 04:10:00,8.75,9.49,9.66,10.34,10.53,151.2,157.7,159.5,162.5
2021/08/01 04:20:00,9.75,10.49,10.87,12.02,12.14,149.9,155.8,156.3,155.4
2021/08/01 04:30:00,8.79,9.53,9.70,10.31,10.44,154.0,161.0,161.7,162.8
2021/08/01 04:40:00,6.19,6.81,6.87,6.99,6.52,141.8,146.9,147.9,149.4
2021/08/01 04:50:00,6.14,6.85,7.15,7.84,7.74,156.0,161.6,162.6,161.7
2021/08/01 05:00:00,10.19,11.44,11.81,12.51,12.61,172.6,176.8,177.3,178.1
2021/08/01 05:10:00,11.27,12.22,12.39,12.73,12.86,170.6,176.9,177.1,177.1
2021/08/01 05:20:00,10.26,11.11,11.01,11.21,11.29,181.7,186.4,186.0,183.8
2021/08/01 05:30:00,9.46,10.35,10.59,10.97,11.08,181.0,185.5,185.6,184.2
2021/08/01 05:40:00,9.42,10.27,10.40,11.09,11.20,172.7,178.7,179.2,177.4
2021/08/01 05:50:00,8.79,9.58,9.74,10.14,10.29,166.7,171.2,170.2,167.1
2021/08/01 06:00:00,8.99,9.61,9.65,10.13,10.27,159.2,165.3,165.5,164.4
2021/08/01 06:10:00,9.49,10.22,10.27,10.61,10.77,163.0,169.4,168.9,166.1
2021/08/01 06:20:00,9.05,9.67,9.80,10.65,10.81,160.5,165.2,164.8,162.5
2021/08/01 06:30:00,7.21,7.66,7.79,8.45,8.56,150.5,157.7,158.8,157.0
2021/08/01 06:40:00,8.64,9.15,9.38,10.37,10.56,154.4,161.5,162.0,160.5
2021/08/01 06:50:00,7.89,8.32,8.40,9.46,9.60,149.4,155.1,155.3,156.4
2021/08/01 07:00:00,7.19,7.64,7.72,8.77,8.61,143.2,149.3,150.5,151.2
2021/08/01 07:10:00,7.54,7.94,8.04,8.99,8.39,140.1,146.4,146.5,145.7
2021/08/01 07:20:00,7.03,7.40,7.46,8.38,7.06,138.7,144.8,145.5,142.9
2021/08/01 07:30:00,6.46,6.99,7.24,8.14,7.17,128.2,133.4,134.6,134.8
2021/08/01 07:40:00,7.07,7.55,7.62,8.30,8.23,121.5,126.4,128.1,129.7
2021/08/01 07:50:00,6.30,6.68,6.71,7.68,7.98,122.6,126.4,128.3,128.3
2021/08/01 08:00:00,5.65,6.06,6.10,6.83,6.85,112.9,117.8,120.5,121.9
2021/08/01 08:10:00,5.57,5.92,6.00,6.70,6.44,104.4,109.8,113.2,114.7
2021/08/01 08:20:00,5.42,5.76,5.81,6.83,6.67,107.0,111.8,114.7,118.2
2021/08/01 08:30:00,5.08,5.40,5.49,6.55,6.52,109.9,114.3,117.2,119.7
2021/08/01 08:40:00,4.11,4.42,4.44,5.24,5.14,111.7,116.4,119.5,121.6
2021/08/01 08:50:00,4.58,4.92,5.07,5.79,5.73,118.1,124.7,127.1,129.4
2021/08/01 09:00:00,5.41,5.80,6.02,6.91,5.68,131.1,137.4,139.2,140.7
2021/08/01 09:10:00,5.57,5.92,6.03,7.00,6.46,134.8,141.5,143.8,146.7
2021/08/01 09:20:00,6.16,6.61,6.78,7.46,7.30,142.0,147.9,149.7,150.1
2021/08/01 09:30:00,5.71,6.16,6.38,7.03,6.30,133.7,140.4,142.2,144.0
2021/08/01 09:40:00,4.78,5.08,5.15,5.43,4.59,124.7,130.4,134.4,139.0
2021/08/01 09:50:00,4.58,4.93,4.96,5.14,4.79,119.6,128.1,135.1,144.0
2021/08/01 10:00:00,4.82,5.09,5.00,4.85,4.74,112.6,119.3,123.5,131.1
2021/08/01 10:10:00,4.82,4.96,4.83,4.45,4.44,92.2,99.5,104.2,118.7
2021/08/01 10:20:00,5.43,5.49,5.14,4.83,4.39,105.4,114.3,123.8,135.1
2021/08/01 10:30:00,6.21,6.60,6.57,7.05,6.13,123.7,130.6,135.8,139.8
